epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,7196.76,1.51694,1.66019,1.89507,0.48695,0.47236,0.50449,0.24591,1.8035,1.68755,2.41886,0.000324579,0.000324579,0.000324579
145,7245.89,1.50836,1.63526,1.86916,0.58431,0.48471,0.50797,0.24396,1.81946,1.70464,2.43231,0.000319079,0.000319079,0.000319079
146,7295.35,1.51749,1.63813,1.88695,0.54942,0.42699,0.49721,0.24763,1.77903,1.69159,2.40811,0.00031358,0.00031358,0.00031358
147,7344.81,1.51335,1.63121,1.85632,0.54608,0.42001,0.4767,0.24745,1.79277,1.73415,2.42438,0.00030808,0.00030808,0.00030808
148,7394.63,1.49429,1.59819,1.86181,0.51742,0.5153,0.4993,0.24896,1.74936,1.69488,2.41072,0.000302581,0.000302581,0.000302581
149,7443.97,1.51019,1.62934,1.87615,0.65115,0.49144,0.55041,0.26363,1.7852,1.70397,2.40922,0.000297081,0.000297081,0.000297081
150,7494.67,1.49124,1.61577,1.88078,0.56983,0.48156,0.50063,0.25695,1.79571,1.68255,2.46425,0.000291582,0.000291582,0.000291582
151,7544.04,1.47573,1.62954,1.85286,0.45574,0.52184,0.49537,0.24959,1.79448,1.73425,2.41251,0.000286083,0.000286083,0.000286083
152,7593.51,1.47596,1.6203,1.85145,0.54044,0.53398,0.54312,0.26027,1.796,1.68992,2.44818,0.000280583,0.000280583,0.000280583
153,7642.77,1.45711,1.5697,1.81874,0.62767,0.41606,0.50025,0.24375,1.76605,1.70446,2.41726,0.000275084,0.000275084,0.000275084
154,7692.92,1.52864,1.68219,1.90887,0.60354,0.46662,0.51364,0.24923,1.77617,1.65074,2.43147,0.000269584,0.000269584,0.000269584
155,7742.29,1.482,1.58938,1.83339,0.58959,0.45941,0.51466,0.25697,1.78048,1.6839,2.42332,0.000264085,0.000264085,0.000264085
156,7791.75,1.43418,1.55664,1.80991,0.609,0.42816,0.52749,0.25207,1.79243,1.68518,2.43031,0.000258585,0.000258585,0.000258585
157,7841.17,1.47959,1.61948,1.86652,0.61509,0.4593,0.51058,0.25505,1.78884,1.66297,2.43827,0.000253086,0.000253086,0.000253086
158,7890.07,1.47479,1.56447,1.84434,0.48486,0.55629,0.52667,0.24818,1.82838,1.69284,2.45542,0.000247586,0.000247586,0.000247586
159,7939.87,1.47828,1.59459,1.85102,0.50978,0.52166,0.4952,0.237,1.87816,1.75959,2.52532,0.000242087,0.000242087,0.000242087
160,7989.05,1.42796,1.53631,1.80573,0.57824,0.43915,0.50013,0.24447,1.8152,1.71306,2.46624,0.000236587,0.000236587,0.000236587
161,8038.15,1.42742,1.54594,1.79474,0.50627,0.47133,0.49367,0.24353,1.77004,1.6608,2.41446,0.000231088,0.000231088,0.000231088
162,8088.2,1.45488,1.58199,1.82589,0.53165,0.46274,0.51912,0.25824,1.77183,1.7207,2.45674,0.000225589,0.000225589,0.000225589
163,8137.42,1.41903,1.53828,1.80192,0.46525,0.5418,0.50008,0.24624,1.79539,1.69859,2.42417,0.000220089,0.000220089,0.000220089
164,8187.04,1.44713,1.55711,1.80521,0.43884,0.52164,0.48543,0.24128,1.78658,1.66514,2.46286,0.00021459,0.00021459,0.00021459
165,8237.11,1.43514,1.5608,1.83203,0.63538,0.4755,0.53294,0.25948,1.83391,1.67775,2.48419,0.00020909,0.00020909,0.00020909
166,8286.29,1.43684,1.50939,1.80314,0.47688,0.53102,0.50501,0.25845,1.78686,1.67921,2.4213,0.000203591,0.000203591,0.000203591
167,8335.8,1.46021,1.56599,1.82135,0.47055,0.54327,0.51924,0.25339,1.80927,1.67657,2.45891,0.000198091,0.000198091,0.000198091
168,8385.49,1.42423,1.5278,1.80992,0.53077,0.51499,0.5114,0.25771,1.75857,1.67112,2.43353,0.000192592,0.000192592,0.000192592
169,8434.86,1.39614,1.49282,1.77083,0.54865,0.50684,0.51936,0.261,1.78912,1.6729,2.46232,0.000187092,0.000187092,0.000187092
170,8484.6,1.41202,1.49286,1.79263,0.49602,0.49431,0.47513,0.24118,1.78339,1.68857,2.46396,0.000181593,0.000181593,0.000181593
171,8534.46,1.38591,1.5103,1.78885,0.54107,0.47849,0.52136,0.26247,1.78634,1.69735,2.44332,0.000176094,0.000176094,0.000176094
172,8584.06,1.41752,1.5249,1.80177,0.48542,0.53444,0.5045,0.24726,1.77632,1.64389,2.43304,0.000170594,0.000170594,0.000170594
173,8633.52,1.44499,1.55394,1.81072,0.49073,0.5448,0.51601,0.24567,1.7936,1.64521,2.4654,0.000165095,0.000165095,0.000165095
174,8682.9,1.4062,1.4797,1.7822,0.42468,0.54427,0.49987,0.24909,1.77261,1.65081,2.43823,0.000159595,0.000159595,0.000159595
175,8732.23,1.4166,1.51665,1.78598,0.47596,0.53753,0.52865,0.25391,1.76812,1.66558,2.42793,0.000154096,0.000154096,0.000154096
176,8782.09,1.37945,1.45562,1.75492,0.49269,0.57425,0.54377,0.2543,1.78743,1.6396,2.44338,0.000148596,0.000148596,0.000148596
177,8831.38,1.37213,1.44861,1.76336,0.47097,0.59583,0.52846,0.25483,1.79092,1.65081,2.4409,0.000143097,0.000143097,0.000143097
178,8880.64,1.39005,1.4682,1.77436,0.56324,0.52892,0.51699,0.25301,1.76091,1.63115,2.42777,0.000137597,0.000137597,0.000137597
179,8931.1,1.36538,1.44988,1.75472,0.53752,0.51422,0.51273,0.2464,1.76578,1.66691,2.44284,0.000132098,0.000132098,0.000132098
